pair_address,token_address,estrato,sync_count,mint_count,burn_count,transfer_count,token0_decimals,token1_decimals,first_block,last_block,lifespan_blocks,active_days,last_event_type,terminal_burn_flag,transfers_count,unique_senders,unique_recipients,total_value,top3_n,concentration_top3,burn_ratio
0xd7135f336918387da100c937492356fcdbd326de,0x8bf071c3d98cc820d64bc45f4eb1262607a78956,alto,270,1,18,41,18,18,12524413.0,13062292.0,537879.0,83.77422453703704,burn,1.0,293.0,85.0,106.0,4.570149054084923e+21,148.0,0.5051194539249146,9.0
0x3d1cb7638d73657f7e554eda1d97703bc29d3c15,0xa585cb4e6e833d6fa55a992e75b9ee0743b23d69,alto,185,12,5,38,8,18,10830056.0,13218829.0,2388773.0,368.839837962963,sync,0.0,259.0,71.0,88.0,853066363506.0,136.0,0.525096525096525,0.38461538461538464
0x344a112bc86da6c6e6466dd19cea281c0f5fdfe2,0xa5ab0a31c34bce7c30a44edbecd685ca9039152f,alto,330,1,1,4,18,18,11297802.0,11304168.0,6366.0,0.9672222222222222,burn,1.0,453.0,14.0,147.0,8.419609246843653e+23,180.0,0.3973509933774834,0.5
0x2479c5269498f2680b6901a9179baede817fa8fa,0xd8719a522eac8bfbd86e5b12433b6f8ab17b7470,alto,94,1,1,4,18,18,12355804.0,12355834.0,30.0,0.0043518518518518515,burn,1.0,99.0,32.0,63.0,1.4673193787549e+33,36.0,0.36363636363636365,0.5
0x9a8a5824d14744f4a92e9122b87e5051d32c81f1,0x2d7ef5876d4173922d5a7fcc6978c24d815dae3b,alto,318,2,2,7,18,18,10683778.0,10684412.0,634.0,0.09458333333333334,burn,1.0,332.0,88.0,148.0,9.74408878152379e+23,135.0,0.4066265060240964,0.6666666666666666
0x0c2445bec45c443c58f44f8e0a5796960e052d63,0xf938424f7210f31df2aee3011291b658f872e91e,alto,44973,810,618,3721,18,18,12039228.0,13220287.0,1181059.0,183.05927083333333,sync,0.0,218731.0,11577.0,14484.0,1.0366989382625646e+27,24302.0,0.11110450736292524,0.7620221948212084
0xbb2b8038a1640196fbe3e38816f3e67cba72d940,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,alto,412103,24017,16547,99705,8,18,10091132.0,13220456.0,3129324.0,483.2967476851852,sync,0.0,2415182.0,142474.0,157924.0,1054232839180054.0,342479.0,0.14180256394756172,0.6889416271129986
0xed394ef77bdeb1e9bf6d76ad59baac3afb65c189,0xc47e5efe35397007d94b9d6b1f68565df148d73c,alto,331,11,3,20,18,18,10789999.0,12335277.0,1545278.0,237.72736111111112,sync,0.0,348.0,79.0,108.0,3.715355029657101e+23,176.0,0.5057471264367817,0.25
0xe875d87b63df4129182e582bfe8b46240ee5d83f,0xd6c67b93a7b248df608a653d82a100556144c5da,alto,6975,5,4,17,18,18,10775577.0,13218953.0,2443376.0,377.19984953703704,sync,0.0,11864.0,1863.0,1951.0,1.0763495895918378e+25,4223.0,0.35595077545515846,0.6666666666666666
0x75c5321d8e6e6b5ab0fc697e0da350ae254d449d,0x8e45ba65b67674d359eb87364981fa50579a0606,alto,717,7,4,19,18,18,10875655.0,11535594.0,659939.0,101.57576388888889,sync,0.0,1060.0,111.0,353.0,1.1441566858530326e+25,383.0,0.3613207547169811,0.5
